p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.55136874646234e-202,7.97841568119995,0.664,0.021,2.86180992659907e-198,0,Hemgn
5.127751346442e-104,16.3932820125245,0.935,0.169,9.45916290878156e-100,0,Mki67
4.0123671557701e-98,5.80144849216461,0.701,0.078,7.4016136922491e-94,0,Diaph3
4.15699529654389e-96,11.1689821686013,0.776,0.107,7.66840922353451e-92,0,Ank1
1.86981395566677e-87,8.42189175192311,0.776,0.12,3.4492458040185e-83,0,Sptb
1.93604089330974e-87,7.84110517885629,0.785,0.123,3.57141463588847e-83,0,Top2a
5.10723913279163e-81,5.82355121159814,0.673,0.089,9.42132402826072e-77,0,Spta1
3.08758892742284e-79,4.29303959907474,0.43,0.031,5.69567529441691e-75,0,Ccnf
1.96285612273404e-77,2.8386237439924,0.523,0.051,3.62088068960748e-73,0,Dmtn
1.77531467589887e-75,3.78351218742982,0.514,0.051,3.27492298263064e-71,0,Nusap1
7.34180971174955e-73,6.15966389696719,0.495,0.049,1.35434363752644e-68,0,Cenpf
9.90657146270788e-70,6.49324657907924,0.364,0.025,1.82746523772572e-65,0,Aspm
3.72308057297899e-69,3.00968342998483,0.43,0.037,6.86796673297433e-65,0,Rhd
9.40779846391211e-68,5.78373946436033,0.925,0.236,1.73545658263787e-63,0,Slc4a1
4.21623624126814e-61,2.64714963009024,0.495,0.06,7.77769099426733e-57,0,Tmod1
6.75447913772241e-59,4.14343487098162,0.346,0.028,1.24599876653565e-54,0,Ect2
4.54685914402609e-57,4.49455522565731,0.673,0.133,8.38759106298493e-53,0,Smc4
1.47027932004512e-55,-221.499512228803,0.981,0.359,2.71222426168723e-51,0,Hba-a1
1.71386604747384e-55,3.11053569025756,0.29,0.02,3.16156869777499e-51,0,Cdk1
1.20922248590762e-53,2.82245472720728,0.29,0.02,2.23065271975378e-49,0,Kif18a
5.52107862784039e-53,4.39644890580681,0.57,0.095,1.01847337447772e-48,0,Gypa
6.61375479152589e-52,1.46256717313848,0.701,0.146,1.22003934639278e-47,0,Fech
